store_id,location,area,region
1446,"13
Kaul Road
Kulti-440393",Amravati,Unknown
8118,"47
Patil Circle, Srikakulam 796222",Guna,Unknown
8733,"H.No. 15, Shetty Zila, Buxar-796680",Kishanganj,Unknown
2770,"H.No. 419, Ranganathan Road
Thane-511020",Khammam,Unknown
761,"68, Sunder Marg
Tiruppur 470957",Moradabad,Unknown
3439,"14/54
Banik
Kirari Suleman Nagar-412785",Panihati,Unknown
7531,"78/65
Trivedi Road
Chandigarh 042818",Gandhinagar,Unknown
3558,"07/32
Ghosh Street, Nagercoil 485520",Jaunpur,Unknown
416,"65/892
Rastogi Street
Anantapuram-983602",Nandyal,Unknown
5595,"H.No. 080
Kari, Deoghar 884791",Pudukkottai,Unknown
153,"33/00
Sami Chowk
Saharanpur 693311",Kharagpur,Unknown
2017,"508, Dixit Zila
Nashik-521010",Gangtok,Unknown
9725,"494, Shukla Path
Nizamabad 528423",Tumkur,Unknown
6621,"71/201, Swamy, Thoothukudi-983182",Howrah,Unknown
1430,"830
Naik Chowk, Shivpuri-973829",Durgapur,Unknown
8018,"05
Kara Street
Bhagalpur-060052",Faridabad,Unknown
7684,"16/77, Kuruvilla Road
Jamalpur-474745",Indore,Unknown
8330,"56/79, Shere Nagar
Pallavaram-288622",Sasaram,Unknown
8531,"96/75
Dutta Street
Dhule-206857",Eluru,Unknown
8178,"H.No. 40
Vig Ganj, Dehri 859344",Dehri,Unknown
4046,"52, Toor Circle, Bhagalpur 502939",Katni,Unknown
7487,"H.No. 08
Toor
Chapra 724446",Rohtak,Unknown
4877,"481, Jaggi Path
Barasat-074501",Thiruvananthapuram,Unknown
646,"69
Khalsa Path
Arrah-734122",Karawal Nagar,Unknown
7355,"H.No. 253, Sundaram Chowk, Pondicherry-876626",Kozhikode,South
5459,"05/935
Kohli Path, Jabalpur 151623",Pune,Unknown
9192,"H.No. 10, Balay Zila, Panipat 734804",Durgapur,Unknown
6140,"H.No. 581
Bawa Path
Ichalkaranji-554765",Malda,Unknown
5348,"979, Yohannan Circle
Aurangabad 976812",Thane,Unknown
1729,"H.No. 19
Gole Ganj
Ludhiana-452366",Miryalaguda,Unknown
5210,"68/08
Dube Zila
Ambala-132424",Orai,Unknown
5784,"23/386, Savant Street, Bharatpur-396119",Ulhasnagar,Unknown
1089,"59/374, Borra Ganj
Navi Mumbai-709758",Pondicherry,Unknown
9106,"714
Choudhury Chowk, Chinsurah 000605",Morbi,Unknown
7609,"82/547
Deep Road
Phusro-585053",Panihati,Unknown
5105,"H.No. 084, Mody Ganj, Panipat-412839",Bhiwandi,Unknown
8995,"04/693, Ramanathan Chowk
Faridabad-115332",Ichalkaranji,West
1972,"33, Uppal Chowk, Mysore-453952",Shahjahanpur,Unknown
292,"849
Sani Ganj
Ahmednagar 929709",Khammam,Unknown
5181,"H.No. 59
Apte Chowk, Tiruvottiyur-913801",Erode,Unknown
8846,"H.No. 84
Narang Ganj, Dehradun-756490",Sambalpur,Unknown
1599,"H.No. 758
Goyal Nagar
Orai 041239",Medininagar,Unknown
3520,"10/038
Subramanian Chowk
Begusarai 041864",Mehsana,Unknown
8610,"812, Dutta Zila, Hindupur-529803",Sikar,Unknown
2133,"67/88, Mukherjee, Bellary-497259",Chandrapur,Unknown
4874,"759, Karnik Nagar, Gurgaon 611202",Varanasi,Unknown
7555,"H.No. 570
Kulkarni Marg, Berhampur-762758",Motihari,Unknown
6818,"62/91, Ramanathan Nagar
Orai 783992",Deoghar,Unknown
2317,"H.No. 566, Parmar
Medininagar-071397",Kharagpur,Unknown
7595,"H.No. 517, Bhatti Marg, Bihar Sharif-108740",Miryalaguda,Unknown
5150,"49
Chaudhary Circle, Yamunanagar 303831",Sambalpur,Unknown
2035,"37
Bajaj Circle, Siwan 761617",Nadiad,Unknown
6047,"19/95, Mangal Road
Hyderabad-121004",Siwan,Unknown
8459,"68/302, Dara
Agra 821445",Bhiwani,Unknown
5673,"H.No. 973
Tara Street
Jorhat 869913",Buxar,Unknown
4535,"31/15
Sundaram Road, Meerut-572312",Chittoor,Unknown
3974,"H.No. 29
Hora Nagar
Amritsar-740154",Rajahmundry,Unknown
9397,"75/25, Borde Marg, Maheshtala 940203",Chandigarh,Unknown
7835,"37/02
Ganguly Circle
Barasat-737778",Hapur,Unknown
683,"H.No. 252
Sami Marg
Kochi 597640",Saharsa,Unknown
5707,"70/832
Sarkar Zila
Sonipat-700002",Bhagalpur,Unknown
7251,"H.No. 305
Sunder Street, Proddatur-711890",Vijayanagaram,Unknown
8984,"H.No. 537
Krishna Circle
Gurgaon 910763",Dhule,Unknown
8139,"H.No. 038, Rama Nagar, Pali 764609",Bhopal,Unknown
1687,"H.No. 27
Issac Ganj
Mau 581320",Alwar,Unknown
3240,"52/516, Khalsa Zila
Kota-913116",Khora ,Unknown
8424,"032, Pandey Chowk, Medininagar-342499",Nandyal,Unknown
1231,"H.No. 997, Hayre Marg, Dhule-782519",Pallavaram,Unknown
3628,"77
Konda Street
South Dumdum-782739",Allahabad,Unknown
7551,"754
Mody Marg
Aligarh-411970",Varanasi,Unknown
335,"372
Date, Pali 101228",Surat,Unknown
2357,"08
Comar Circle, Secunderabad-809728",Bhind,Unknown
1557,"69/285, Sarkar Street, Hospet-402412",Rourkela,Unknown
9416,"231, Bhasin Circle
Berhampur-413214",Bhiwani,Unknown
7967,"152
Karan
Bathinda-640398",Machilipatnam,Unknown
2528,"H.No. 191, Rout Circle
Narasaraopet 526905",Dehradun,Unknown
97,"01/760
Natarajan Path
Parbhani-638480",Jaipur,Unknown
5334,"62/25
Sarma Circle
Mahbubnagar-707575",Burhanpur,Unknown
4175,"71/451, Sura Road, Nanded 621248",Aurangabad,Unknown
2085,"H.No. 671, Doctor Chowk, Saharanpur 270113",Bokaro,Unknown
6382,"671, Khurana
Mango 598682",Jamalpur,Unknown
4180,"19/372, Batra Nagar
Jodhpur-951616",Mirzapur,Unknown
7829,"25/98, Mallick Nagar
Gudivada 670706",Dewas,Unknown
5420,"03/182, Manda Circle
Mangalore 883696",Jamnagar,Unknown
3139,"12/15, Jha Ganj, Adoni-465226",Sasaram,Unknown
8895,"45/52, Kapoor, Mahbubnagar-558328",Vadodara,Unknown
5049,"41/05
Cheema Marg, Durg-626411",Kadapa,Unknown
9185,"878
Rajagopal Circle, Phagwara-745365",Hapur,Unknown
3493,"H.No. 177, Bera Ganj, Jehanabad-028809",Bilaspur,Unknown
2277,"70/159
Maharaj Zila
Bettiah 050676",Jalgaon,Unknown
1421,"H.No. 08, Kapadia Zila, Nagpur-853011",Tadipatri,Unknown
3391,"H.No. 57
Baral Road
Dhanbad-870742",Raurkela Industrial Township,Unknown
8971,"71/414
Vaidya Marg, Kumbakonam 076787",Orai,Unknown
4726,"H.No. 571, Barad Path, Siliguri 766713",Bhagalpur,Unknown
5670,"H.No. 205, Bose Path
Sri Ganganagar-216738",Ramagundam,Unknown
7297,"02/047
Patel Road
Dindigul 073010",Ahmednagar,Unknown
9157,"83/95, Sheth Marg, Chandrapur-896229",Raiganj,Unknown
1731,"102, Chopra Ganj, Korba-838479",Kolhapur,Unknown
5466,"349, Doshi Circle, Ramgarh 805466",Uluberia,Unknown
2746,"97/611, Modi Ganj
Allahabad-554472",Vijayanagaram,Unknown
7610,"52/345
Aurora Circle
Guna 800744",Raebareli,Unknown
